       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

         -          (LBF)          (HP)       (IN-LBF)

       1000         0.542         0.011         0.713        0.0388        0.0963       0.614
       2000         2.176         0.085         2.664        0.0363        0.0967       0.661
       3000         4.916         0.277         5.828        0.0353        0.0970       0.684
       4000         8.784         0.649        10.229        0.0348        0.0975       0.698
       5000        13.813         1.263        15.919        0.0347        0.0982       0.708
       6000        20.047         2.187        22.974        0.0348        0.0989       0.715
       7000        27.542         3.499        31.505        0.0350        0.0999       0.719
       8000        36.371         5.289        41.666        0.0355        0.1010       0.722
       9000        46.616         7.756        54.315        0.0365        0.1023       0.714
      10000        58.332        11.712        73.820        0.0402        0.1036       0.662
      11000        71.076        18.656       106.894        0.0481        0.1044       0.559


                       205x14E.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.535         0.011         0.710        0.0387        0.0951       0.605
       2000         2.149         0.084         2.651        0.0361        0.0954       0.652
       3000         4.853         0.276         5.797        0.0351        0.0958       0.674
       4000         8.669         0.645        10.170        0.0346        0.0963       0.688
       5000        13.625         1.255        15.815        0.0344        0.0968       0.698
       6000        19.760         2.171        22.806        0.0345        0.0975       0.704
       7000        27.125         3.470        31.241        0.0347        0.0984       0.709
       8000        35.780         5.238        41.267        0.0351        0.0993       0.711
       9000        45.790         7.685        53.821        0.0362        0.1004       0.702
      10000        57.185        11.616        73.215        0.0399        0.1016       0.648
      11000        69.502        18.411       105.493        0.0475        0.1021       0.548


                       205x14EPN.dat              

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.534         0.011         0.708        0.0386        0.0949       0.605
       2000         2.145         0.084         2.642        0.0360        0.0953       0.652
       3000         4.846         0.275         5.777        0.0350        0.0957       0.675
       4000         8.655         0.643        10.132        0.0345        0.0961       0.689
       5000        13.604         1.250        15.756        0.0343        0.0967       0.699
       6000        19.731         2.163        22.720        0.0344        0.0974       0.706
       7000        27.086         3.457        31.125        0.0346        0.0982       0.710
       8000        35.730         5.219        41.115        0.0350        0.0992       0.712
       9000        45.727         7.658        53.629        0.0361        0.1003       0.703
      10000        57.110        11.578        72.977        0.0397        0.1015       0.649
      11000        69.412        18.361       105.206        0.0473        0.1019       0.548


                       205x205E(CD).dat           

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.635         0.017         1.063        0.0551        0.1085       0.517
       2000         2.545         0.128         4.026        0.0522        0.1087       0.548
       3000         5.737         0.422         8.858        0.0511        0.1090       0.562
       4000        10.221         0.989        15.585        0.0505        0.1092       0.570
       5000        16.006         1.925        24.262        0.0503        0.1094       0.574
       6000        23.107         3.329        34.974        0.0504        0.1097       0.575
       7000        31.540         5.313        47.841        0.0506        0.1100       0.575
       8000        41.317         8.018        63.167        0.0512        0.1103       0.571
       9000        52.436        11.831        82.851        0.0531        0.1106       0.553
      10000        64.849        17.788       112.117        0.0582        0.1108       0.506
      11000        77.725        26.838       153.779        0.0659        0.1098       0.440


                       20x10.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.394         0.008         0.483        0.0298        0.0773       0.576
       2000         1.584         0.055         1.722        0.0265        0.0777       0.651
       3000         3.583         0.176         3.692        0.0253        0.0781       0.689
       4000         6.411         0.407         6.408        0.0247        0.0786       0.712
       5000        10.098         0.786         9.903        0.0244        0.0792       0.729
       6000        14.684         1.355        14.233        0.0244        0.0800       0.741
       7000        20.222         2.162        19.471        0.0245        0.0809       0.750
       8000        26.780         3.265        25.724        0.0248        0.0821       0.757
       9000        34.437         4.787        33.522        0.0255        0.0834       0.753
      10000        43.260         7.237        45.617        0.0281        0.0848       0.702
      11000        53.056        11.704        67.060        0.0341        0.0860       0.589


                       20x105PN.dat               

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.451         0.009         0.565        0.0348        0.0885       0.603
       2000         1.813         0.065         2.040        0.0314        0.0889       0.673
       3000         4.101         0.209         4.401        0.0301        0.0894       0.707
       4000         7.338         0.487         7.671        0.0295        0.0899       0.729
       5000        11.560         0.944        11.894        0.0293        0.0907       0.743
       6000        16.816         1.632        17.141        0.0293        0.0916       0.754
       7000        23.171         2.611        23.509        0.0296        0.0927       0.762
       8000        30.711         3.952        31.139        0.0300        0.0941       0.768
       9000        39.542         5.791        40.553        0.0308        0.0957       0.766
      10000        49.777         8.646        54.497        0.0336        0.0976       0.725
      11000        61.274        13.740        78.727        0.0401        0.0993       0.623


                       20x10E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.420         0.008         0.491        0.0303        0.0824       0.623
       2000         1.688         0.058         1.817        0.0280        0.0828       0.679
       3000         3.816         0.188         3.956        0.0271        0.0831       0.706
       4000         6.825         0.439         6.923        0.0267        0.0837       0.724
       5000        10.748         0.853        10.758        0.0265        0.0843       0.737
       6000        15.627         1.477        15.517        0.0266        0.0851       0.746
       7000        21.524         2.364        21.286        0.0268        0.0862       0.754
       8000        28.520         3.577        28.185        0.0271        0.0874       0.760
       9000        36.725         5.202        36.430        0.0277        0.0889       0.763
      10000        46.284         7.546        47.562        0.0293        0.0908       0.745
      11000        57.261        11.689        66.974        0.0341        0.0928       0.661
      12000        68.375        18.485        97.090        0.0415        0.0931       0.546


                       20x10PN.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.457         0.009         0.571        0.0352        0.0897       0.610
       2000         1.839         0.065         2.063        0.0318        0.0902       0.680
       3000         4.160         0.212         4.454        0.0305        0.0907       0.714
       4000         7.446         0.493         7.769        0.0299        0.0913       0.735
       5000        11.735         0.956        12.055        0.0297        0.0921       0.750
       6000        17.080         1.655        17.387        0.0298        0.0930       0.761
       7000        23.551         2.651        23.872        0.0300        0.0943       0.769
       8000        31.244         4.019        31.663        0.0305        0.0957       0.775
       9000        40.287         5.880        41.181        0.0313        0.0975       0.776
      10000        50.826         8.725        54.990        0.0339        0.0997       0.741


                       20x10W.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.481         0.010         0.610        0.0376        0.0942       0.614
       2000         1.932         0.070         2.216        0.0341        0.0947       0.681
       3000         4.370         0.228         4.799        0.0329        0.0952       0.714
       4000         7.824         0.532         8.385        0.0323        0.0959       0.734
       5000        12.332         1.034        13.029        0.0321        0.0967       0.748
       6000        17.952         1.791        18.815        0.0322        0.0978       0.758
       7000        24.760         2.872        25.861        0.0325        0.0991       0.766
       8000        32.861         4.358        34.338        0.0331        0.1007       0.771
       9000        42.393         6.376        44.653        0.0340        0.1026       0.772
      10000        53.526         9.412        59.322        0.0366        0.1050       0.743
      11000        66.259        14.857        85.126        0.0433        0.1074       0.648


                       20x11E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.446         0.009         0.537        0.0331        0.0874       0.623
       2000         1.790         0.063         1.994        0.0307        0.0878       0.676
       3000         4.047         0.207         4.347        0.0298        0.0882       0.702
       4000         7.236         0.483         7.616        0.0293        0.0887       0.719
       5000        11.389         0.939        11.838        0.0292        0.0893       0.730
       6000        16.550         1.626        17.077        0.0292        0.0902       0.739
       7000        22.775         2.601        23.418        0.0294        0.0912       0.746
       8000        30.142         3.933        30.989        0.0298        0.0924       0.751
       9000        38.754         5.720        40.057        0.0305        0.0938       0.753
      10000        48.728         8.354        52.657        0.0324        0.0956       0.727
      11000        60.065        13.034        74.684        0.0380        0.0974       0.637
      12000        71.189        20.240       106.306        0.0455        0.0970       0.530


                       20x12.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.427         0.009         0.547        0.0337        0.0838       0.575
       2000         1.717         0.062         1.961        0.0302        0.0842       0.645
       3000         3.878         0.201         4.215        0.0289        0.0845       0.679
       4000         6.929         0.465         7.322        0.0282        0.0849       0.701
       5000        10.892         0.897        11.312        0.0279        0.0854       0.715
       6000        15.796         1.545        16.233        0.0278        0.0861       0.725
       7000        21.678         2.460        22.150        0.0279        0.0868       0.732
       8000        28.578         3.702        29.169        0.0281        0.0876       0.736
       9000        36.529         5.441        38.107        0.0290        0.0884       0.724
      10000        45.532         8.258        52.046        0.0321        0.0893       0.664
      11000        55.281        13.126        75.207        0.0383        0.0896       0.559
      12000        64.171        19.592       102.902        0.0440        0.0874       0.468


                       20x12WE.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.502         0.010         0.633        0.0390        0.0984       0.631
       2000         2.014         0.075         2.365        0.0364        0.0987       0.680
       3000         4.551         0.246         5.174        0.0354        0.0992       0.703
       4000         8.135         0.576         9.081        0.0350        0.0997       0.718
       5000        12.797         1.121        14.132        0.0348        0.1004       0.729
       6000        18.583         1.942        20.397        0.0349        0.1012       0.736
       7000        25.551         3.107        27.976        0.0352        0.1023       0.742
       8000        33.779         4.697        37.007        0.0356        0.1035       0.746
       9000        43.367         6.831        47.841        0.0364        0.1050       0.746
      10000        54.417         9.994        62.990        0.0388        0.1067       0.717
      11000        66.878        15.533        89.000        0.0453        0.1084       0.628
      12000        78.928        23.739       124.685        0.0533        0.1075       0.527


                       20x13E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.486         0.010         0.623        0.0384        0.0954       0.612
       2000         1.952         0.074         2.325        0.0358        0.0957       0.660
       3000         4.410         0.242         5.080        0.0348        0.0961       0.683
       4000         7.878         0.565         8.907        0.0343        0.0966       0.698
       5000        12.384         1.098        13.847        0.0341        0.0971       0.708
       6000        17.965         1.900        19.962        0.0342        0.0979       0.715
       7000        24.670         3.036        27.338        0.0344        0.0987       0.720
       8000        32.559         4.582        36.099        0.0348        0.0998       0.724
       9000        41.704         6.669        46.704        0.0355        0.1010       0.721
      10000        52.163         9.835        61.987        0.0382        0.1023       0.684
      11000        63.801        15.375        88.095        0.0449        0.1034       0.591
      12000        74.719        23.100       121.328        0.0519        0.1018       0.499


                       20x14.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.448         0.010         0.601        0.0370        0.0878       0.560
       2000         1.798         0.069         2.168        0.0334        0.0881       0.625
       3000         4.057         0.222         4.670        0.0320        0.0884       0.656
       4000         7.238         0.515         8.118        0.0313        0.0887       0.674
       5000        11.355         0.995        12.539        0.0309        0.0891       0.687
       6000        16.427         1.711        17.979        0.0308        0.0895       0.694
       7000        22.475         2.721        24.497        0.0308        0.0900       0.699
       8000        29.519         4.090        32.224        0.0310        0.0905       0.700
       9000        37.567         6.022        42.176        0.0321        0.0910       0.682
      10000        46.600         9.136        57.581        0.0355        0.0914       0.621
      11000        56.289        14.354        82.244        0.0419        0.0912       0.525
      12000        65.150        21.338       112.076        0.0480        0.0887       0.440


                       20x15(WCAR-T6).dat         

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.528         0.012         0.737        0.0454        0.1035       0.585
       2000         2.117         0.086         2.722        0.0419        0.1038       0.636
       3000         4.778         0.282         5.917        0.0405        0.1041       0.662
       4000         8.523         0.656        10.338        0.0398        0.1045       0.677
       5000        13.370         1.271        16.024        0.0395        0.1049       0.686
       6000        19.340         2.193        23.038        0.0394        0.1054       0.692
       7000        26.457         3.495        31.466        0.0396        0.1059       0.695
       8000        34.745         5.260        41.445        0.0399        0.1065       0.695
       9000        44.213         7.736        54.173        0.0412        0.1071       0.678
      10000        54.809        11.774        74.210        0.0457        0.1075       0.615
      11000        66.202        18.919       108.404        0.0552        0.1073       0.508


                       20x15C.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.461         0.010         0.635        0.0391        0.0904       0.554
       2000         1.850         0.073         2.300        0.0354        0.0907       0.615
       3000         4.173         0.236         4.964        0.0340        0.0909       0.644
       4000         7.441         0.548         8.634        0.0332        0.0912       0.661
       5000        11.664         1.058        13.338        0.0329        0.0915       0.672
       6000        16.857         1.820        19.117        0.0327        0.0918       0.679
       7000        23.035         2.891        26.030        0.0327        0.0922       0.682
       8000        30.212         4.344        34.221        0.0329        0.0926       0.682
       9000        38.393         6.374        44.636        0.0340        0.0930       0.666
      10000        47.563         9.540        60.127        0.0370        0.0933       0.614
      11000        57.473        14.786        84.721        0.0431        0.0932       0.526


                       20x15E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.514         0.011         0.700        0.0431        0.1008       0.592
       2000         2.062         0.083         2.619        0.0403        0.1011       0.636
       3000         4.655         0.273         5.730        0.0392        0.1014       0.657
       4000         8.307         0.638        10.051        0.0387        0.1018       0.670
       5000        13.041         1.239        15.621        0.0385        0.1023       0.678
       6000        18.885         2.142        22.500        0.0385        0.1029       0.684
       7000        25.872         3.418        30.773        0.0387        0.1036       0.687
       8000        34.045         5.148        40.559        0.0390        0.1043       0.689
       9000        43.443         7.505        52.556        0.0400        0.1052       0.681
      10000        54.072        11.112        70.039        0.0432        0.1060       0.638
      11000        65.707        17.251        98.845        0.0503        0.1065       0.551
      12000        76.400        25.376       133.282        0.0570        0.1041       0.470


                       20x18(F1-GT).dat           

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.548         0.012         0.784        0.0483        0.1075       0.582
       2000         2.200         0.094         2.952        0.0455        0.1078       0.621
       3000         4.963         0.308         6.471        0.0443        0.1081       0.641
       4000         8.850         0.721        11.358        0.0437        0.1085       0.652
       5000        13.879         1.401        17.660        0.0435        0.1089       0.659
       6000        20.071         2.422        25.445        0.0435        0.1093       0.663
       7000        27.448         3.866        34.811        0.0438        0.1099       0.664
       8000        36.031         5.858        46.152        0.0444        0.1104       0.659
       9000        45.804         8.852        61.995        0.0472        0.1109       0.625


                       20x225EP(CD).dat           

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.608         0.018         1.113        0.0686        0.1192       0.479
       2000         2.438         0.135         4.245        0.0654        0.1195       0.504
       3000         5.494         0.446         9.367        0.0641        0.1197       0.515
       4000         9.782         1.048        16.508        0.0636        0.1199       0.521
       5000        15.309         2.041        25.725        0.0634        0.1201       0.524
       6000        22.083         3.532        37.105        0.0635        0.1203       0.524
       7000        30.116         5.639        50.769        0.0638        0.1205       0.523
       8000        39.415         8.497        66.946        0.0644        0.1208       0.520
       9000        49.978        12.417        86.957        0.0661        0.1210       0.508
      10000        61.763        18.214       114.803        0.0707        0.1211       0.475
      11000        74.426        27.178       155.728        0.0793        0.1206       0.422


                       20x8.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.344         0.006         0.406        0.0250        0.0674       0.558
       2000         1.382         0.045         1.428        0.0220        0.0678       0.640
       3000         3.128         0.145         3.044        0.0208        0.0682       0.681
       4000         5.603         0.334         5.267        0.0203        0.0687       0.708
       5000         8.839         0.645         8.129        0.0200        0.0693       0.727
       6000        12.880         1.112        11.682        0.0200        0.0702       0.742
       7000        17.788         1.777        16.000        0.0201        0.0712       0.753
       8000        23.644         2.690        21.192        0.0204        0.0725       0.763
       9000        30.562         3.933        27.545        0.0210        0.0740       0.766
      10000        38.682         5.869        36.991        0.0228        0.0759       0.732
      11000        47.992         9.510        54.489        0.0277        0.0778       0.624
      12000        56.917        14.961        78.579        0.0336        0.0775       0.512


                       20x8E.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.361         0.006         0.399        0.0246        0.0707       0.611
       2000         1.448         0.046         1.457        0.0224        0.0710       0.673
       3000         3.275         0.150         3.155        0.0216        0.0714       0.704
       4000         5.861         0.349         5.503        0.0212        0.0718       0.725
       5000         9.235         0.677         8.530        0.0210        0.0724       0.740
       6000        13.440         1.169        12.284        0.0210        0.0732       0.752
       7000        18.532         1.870        16.836        0.0212        0.0742       0.761
       8000        24.593         2.829        22.287        0.0215        0.0754       0.769
       9000        31.735         4.112        28.794        0.0219        0.0768       0.776
      10000        40.122         5.875        37.026        0.0228        0.0787       0.772
      11000        49.928         8.861        50.773        0.0259        0.0809       0.711
      12000        60.525        14.360        75.424        0.0323        0.0824       0.585


                       20x8W.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.410         0.008         0.498        0.0307        0.0804       0.592
       2000         1.648         0.057         1.784        0.0275        0.0808       0.667
       3000         3.731         0.183         3.836        0.0263        0.0813       0.704
       4000         6.683         0.424         6.676        0.0257        0.0819       0.728
       5000        10.543         0.821        10.346        0.0255        0.0827       0.744
       6000        15.365         1.420        14.917        0.0255        0.0837       0.757
       7000        21.223         2.276        20.489        0.0258        0.0849       0.767
       8000        28.222         3.454        27.212        0.0262        0.0865       0.775
       9000        36.507         5.045        35.333        0.0269        0.0884       0.780
      10000        46.282         7.332        46.212        0.0285        0.0908       0.766
      11000        57.713        11.346        65.011        0.0331        0.0935       0.690


                       215x105PN.dat              

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.580         0.012         0.746        0.0319        0.0848       0.619
       2000         2.332         0.086         2.701        0.0288        0.0853       0.689
       3000         5.279         0.278         5.844        0.0277        0.0858       0.723
       4000         9.459         0.648        10.214        0.0273        0.0865       0.744
       5000        14.931         1.261        15.890        0.0272        0.0874       0.759
       6000        21.776         2.189        22.994        0.0273        0.0885       0.770
       7000        30.109         3.521        31.704        0.0276        0.0899       0.778
       8000        40.088         5.370        42.306        0.0282        0.0917       0.784
       9000        51.927         8.064        56.472        0.0298        0.0938       0.770
      10000        65.829        12.941        81.563        0.0348        0.0963       0.684


                       215x10WPN.dat              

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.579         0.012         0.743        0.0318        0.0847       0.619
       2000         2.328         0.085         2.690        0.0287        0.0851       0.690
       3000         5.270         0.277         5.816        0.0276        0.0857       0.725
       4000         9.445         0.645        10.165        0.0271        0.0864       0.746
       5000        14.912         1.255        15.818        0.0270        0.0873       0.761
       6000        21.755         2.180        22.903        0.0272        0.0884       0.772
       7000        30.091         3.510        31.607        0.0276        0.0899       0.780
       8000        40.086         5.359        42.220        0.0282        0.0916       0.785
       9000        51.970         7.977        55.865        0.0295        0.0939       0.779
      10000        65.981        12.658        79.783        0.0341        0.0965       0.702


                       215x13EPN.dat              

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.626         0.013         0.823        0.0353        0.0919       0.629
       2000         2.513         0.098         3.074        0.0330        0.0922       0.678
       3000         5.680         0.320         6.729        0.0321        0.0927       0.702
       4000        10.160         0.750        11.825        0.0317        0.0933       0.716
       5000        15.999         1.462        18.433        0.0316        0.0940       0.726
       6000        23.262         2.538        26.664        0.0318        0.0949       0.734
       7000        32.036         4.073        36.677        0.0321        0.0960       0.739
       8000        42.433         6.186        48.740        0.0327        0.0974       0.742
       9000        54.587         9.253        64.801        0.0343        0.0990       0.724
      10000        68.541        14.675        92.491        0.0397        0.1007       0.642
      11000        82.687        23.592       135.179        0.0479        0.1004       0.529


                       21x105PN.dat               

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.537         0.011         0.685        0.0331        0.0867       0.615
       2000         2.160         0.079         2.482        0.0300        0.0871       0.685
       3000         4.889         0.255         5.366        0.0288        0.0876       0.719
       4000         8.757         0.595         9.372        0.0283        0.0883       0.740
       5000        13.814         1.156        14.568        0.0281        0.0892       0.755
       6000        20.131         2.004        21.055        0.0282        0.0902       0.766
       7000        27.803         3.219        28.986        0.0286        0.0916       0.774
       8000        36.966         4.898        38.586        0.0291        0.0932       0.780
       9000        47.794         7.271        50.917        0.0303        0.0952       0.772
      10000        60.484        11.317        71.331        0.0344        0.0976       0.706


                       21x10PN.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.546         0.011         0.698        0.0337        0.0882       0.620
       2000         2.197         0.080         2.529        0.0305        0.0886       0.690
       3000         4.973         0.260         5.471        0.0293        0.0891       0.724
       4000         8.908         0.607         9.562        0.0289        0.0898       0.745
       5000        14.055         1.180        14.871        0.0287        0.0907       0.759
       6000        20.488         2.047        21.507        0.0288        0.0918       0.770
       7000        28.309         3.291        29.631        0.0292        0.0932       0.778
       8000        37.660         5.011        39.479        0.0298        0.0949       0.784
       9000        48.736         7.415        51.929        0.0309        0.0971       0.780
      10000        61.767        11.446        72.140        0.0348        0.0997       0.721
      11000        76.147        18.981       108.758        0.0434        0.1015       0.595


                       21x10W.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.560         0.011         0.724        0.0349        0.0904       0.621
       2000         2.253         0.084         2.634        0.0318        0.0909       0.688
       3000         5.099         0.272         5.710        0.0306        0.0914       0.720
       4000         9.136         0.634         9.993        0.0302        0.0921       0.740
       5000        14.418         1.234        15.559        0.0300        0.0931       0.754
       6000        21.024         2.144        22.526        0.0302        0.0942       0.764
       7000        29.059         3.450        31.065        0.0306        0.0957       0.772
       8000        38.674         5.260        41.442        0.0313        0.0975       0.777
       9000        50.071         7.820        54.763        0.0326        0.0997       0.770
      10000        63.474        12.122        76.406        0.0369        0.1024       0.709
      11000        78.051        19.767       113.264        0.0452        0.1041       0.593


                       21x12WE.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.593         0.012         0.762        0.0368        0.0957       0.641
       2000         2.381         0.091         2.853        0.0344        0.0960       0.690
       3000         5.383         0.297         6.249        0.0335        0.0965       0.714
       4000         9.630         0.697        10.985        0.0331        0.0971       0.729
       5000        15.166         1.358        17.125        0.0331        0.0979       0.739
       6000        22.054         2.358        24.771        0.0332        0.0988       0.747
       7000        30.379         3.784        34.068        0.0336        0.1000       0.752
       8000        40.257         5.741        45.234        0.0341        0.1015       0.756
       9000        51.834         8.454        59.208        0.0353        0.1033       0.750
      10000        65.256        12.905        81.341        0.0393        0.1053       0.694
      11000        79.818        20.829       119.350        0.0476        0.1064       0.582


                       21x135EPN.dat              

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.592         0.012         0.785        0.0379        0.0955       0.621
       2000         2.376         0.093         2.935        0.0354        0.0958       0.668
       3000         5.368         0.306         6.427        0.0345        0.0962       0.691
       4000         9.597         0.716        11.289        0.0341        0.0968       0.705
       5000        15.099         1.395        17.583        0.0340        0.0974       0.715
       6000        21.927         2.418        25.404        0.0341        0.0983       0.722
       7000        30.152         3.874        34.885        0.0344        0.0993       0.726
       8000        39.861         5.868        46.233        0.0349        0.1005       0.729
       9000        51.155         8.686        60.826        0.0363        0.1019       0.716
      10000        64.086        13.432        84.658        0.0409        0.1034       0.649
      11000        77.686        21.509       123.246        0.0492        0.1036       0.541


                       21x13E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.576         0.012         0.750        0.0362        0.0929       0.624
       2000         2.312         0.089         2.801        0.0338        0.0933       0.672
       3000         5.225         0.292         6.129        0.0329        0.0937       0.696
       4000         9.341         0.683        10.761        0.0325        0.0942       0.711
       5000        14.701         1.329        16.757        0.0324        0.0949       0.721
       6000        21.356         2.305        24.208        0.0325        0.0957       0.728
       7000        29.379         3.692        33.243        0.0328        0.0967       0.733
       8000        38.860         5.592        44.059        0.0332        0.0980       0.736
       9000        49.906         8.271        57.920        0.0345        0.0994       0.725
      10000        62.588        12.775        80.520        0.0389        0.1010       0.659
      11000        75.994        20.489       117.396        0.0468        0.1013       0.549


                       21x13WE.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.620         0.013         0.820        0.0396        0.1000       0.637
       2000         2.489         0.098         3.076        0.0371        0.1004       0.683
       3000         5.624         0.321         6.745        0.0362        0.1008       0.706
       4000        10.057         0.753        11.860        0.0358        0.1014       0.720
       5000        15.829         1.467        18.489        0.0357        0.1022       0.730
       6000        22.999         2.545        26.733        0.0358        0.1031       0.737
       7000        31.646         4.080        36.740        0.0362        0.1042       0.742
       8000        41.875         6.185        48.728        0.0368        0.1056       0.745
       9000        53.807         9.129        63.934        0.0381        0.1072       0.735
      10000        67.536        14.014        88.331        0.0426        0.1090       0.673
      11000        82.176        22.456       128.667        0.0513        0.1096       0.564


                       22x10.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.545         0.011         0.694        0.0266        0.0731       0.594
       2000         2.194         0.079         2.487        0.0238        0.0735       0.668
       3000         4.968         0.255         5.353        0.0228        0.0739       0.705
       4000         8.905         0.592         9.327        0.0223        0.0746       0.728
       5000        14.063         1.149        14.482        0.0222        0.0754       0.745
       6000        20.522         1.992        20.929        0.0222        0.0764       0.757
       7000        28.390         3.202        28.832        0.0225        0.0776       0.766
       8000        37.815         4.896        38.572        0.0231        0.0791       0.771
       9000        48.967         7.597        53.206        0.0251        0.0810       0.732
      10000        61.787        12.921        81.439        0.0312        0.0828       0.610
      11000        73.661        20.685       118.524        0.0375        0.0815       0.496


                       22x10E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.576         0.011         0.702        0.0269        0.0771       0.636
       2000         2.313         0.083         2.601        0.0249        0.0775       0.691
       3000         5.235         0.270         5.676        0.0241        0.0779       0.719
       4000         9.378         0.632         9.960        0.0238        0.0785       0.737
       5000        14.799         1.232        15.526        0.0238        0.0793       0.750
       6000        21.580         2.141        22.490        0.0239        0.0803       0.760
       7000        29.836         3.445        31.022        0.0242        0.0816       0.767
       8000        39.732         5.253        41.389        0.0247        0.0832       0.773
       9000        51.503         7.840        54.905        0.0259        0.0852       0.765
      10000        65.361        12.513        78.866        0.0302        0.0876       0.685
      11000        79.801        20.955       120.071        0.0380        0.0883       0.552


                       22x12E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.649         0.013         0.836        0.0320        0.0869       0.639
       2000         2.606         0.099         3.121        0.0299        0.0873       0.689
       3000         5.894         0.325         6.832        0.0290        0.0877       0.714
