       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance File Names ==========================

       FILE NAME                       TITLE  
       PER3_20x10W.dat                 20x10W              
       PER3_20x11E.dat                 20x11E              
       PER3_20x12.dat                  20x12               
       PER3_20x12WE.dat                20x12WE             
       PER3_20x13E.dat                 20x13E              
       PER3_20x14.dat                  20x14               
       PER3_20x15(WCAR-T6).dat         20x15(WCAR-T6)      
       PER3_20x15C.dat                 20x15C              
       PER3_20x15E.dat                 20x15E              
       PER3_20x18(F1-GT).dat           20x18(F1-GT)        
       PER3_20x225EP(CD).dat           20x22.5EP(CD)       
       PER3_20x8.dat                   20x8                
       PER3_20x8E.dat                  20x8E               
       PER3_20x8W.dat                  20x8W               
       PER3_215x105PN.dat              21.5x10.5PN         
       PER3_215x10WPN.dat              21.5x10WPN          
       PER3_215x13EPN.dat              21.5x13EPN          
       PER3_21x105PN.dat               21x10.5PN           
       PER3_21x10PN.dat                21x10PN             
       PER3_21x10W.dat                 21x10W              
       PER3_21x12WE.dat                21x12WE             
       PER3_21x135EPN.dat              21x13.5EPN          
       PER3_21x13E.dat                 21x13E              
       PER3_21x13WE.dat                21x13WE             
       PER3_22x10.dat                  22x10               
       PER3_22x10E.dat                 22x10E              
       PER3_22x12E.dat                 22x12E              
       PER3_22x12WE.dat                22x12WE             
       PER3_22x13EPN.dat               22x13EPN            
       PER3_22x8.dat                   22x8                
       PER3_24x12E.dat                 24x12E              
       PER3_25x125E.dat                25x12.5E            
       PER3_26x13E.dat                 26x13E              
       PER3_26x15E.dat                 26x15E              
       PER3_27x13E.dat                 27x13E              
       PER3_28x20-4.dat                28x20-4             
       PER3_41x41E.dat                 4.1x4.1E            
       PER3_42x2.dat                   4.2x2               
       PER3_42x4.dat                   4.2x4               
       PER3_44x4.dat                   4.4x4               
       PER3_45x35.dat                  4.5x3.5             
       PER3_45x4.dat                   4.5x4               
       PER3_45x41E.dat                 4.5x4.1E            
       PER3_46x3.dat                   4.6x3               
       PER3_475x4.dat                  4.75x4              
       PER3_475x45E.dat                4.75x4.5E           
       PER3_475x475E.dat               4.75x4.75E          
       PER3_475x55E.dat                4.75x5.5E           
       PER3_47x42E.dat                 4.7x4.2E            
       PER3_4x33E.dat                  4x3.3E              
       PER3_4x45E.dat                  4x4.5E              
       PER3_4x4E-3.dat                 4x4E-3              
       PER3_51x45E.dat                 5.1x4.5E            
       PER3_51x50E-3.dat               5.1x5.0E-3          
       PER3_51x50E.dat                 5.1x5.0E            
       PER3_525x475E.dat               5.25x4.75E          
       PER3_525x55E.dat                5.25x5.5E           
       PER3_525x625E.dat               5.25x6.25E          
       PER3_525x8E.dat                 5.25x8E             
       PER3_52x60E.dat                 5.2x6.0E            
       PER3_55x2.dat                   5.5x2               
       PER3_55x25.dat                  5.5x2.5             
       PER3_55x45E.dat                 5.5x4.5E            
       PER3_55x47E.dat                 5.5x4.7E            
       PER3_55x65E.dat                 5.5x6.5E            
       PER3_55x70.dat                  5.5x7.0             
       PER3_57x3.dat                   5.7x3               
       PER3_5x3.dat                    5x3                 
       PER3_5x37E-3.dat                5x3.7E-3            
       PER3_5x3E.dat                   5x3E                
       PER3_5x41SF.dat                 5x4.1SF             
       PER3_5x43E.dat                  5x4.3E              
       PER3_5x45E.dat                  5x4.5E              
       PER3_5x46E.dat                  5x4.6E              
       PER3_5x4E-3.dat                 5x4E-3              
       PER3_5x4E-4.dat                 5x4E-4              
       PER3_5x4R-RH.dat                5x4R-RH             
       PER3_5x5E.dat                   5x5E                
