         13x5.5MRF-RH             (13x55MRF-RH.dat)
         v2022-0915
         Simulation Date: 03/31/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
        4.93      0.1335      0.3189      0.0779      0.0326       0.026       0.553       0.638      19.619       0.062       2.839      14.755        0.15      62757.    0.5320
        5.63      0.1526      0.3547      0.0752      0.0323       0.026       0.548       0.616      19.445       0.062       2.739      14.362        0.15      62809.    0.5087
        6.34      0.1716      0.3881      0.0723      0.0320       0.026       0.542       0.592      19.235       0.061       2.634      13.966        0.15      62864.    0.4851
        7.04      0.1907      0.4188      0.0693      0.0316       0.025       0.535       0.568      18.987       0.060       2.525      13.564        0.15      62922.    0.4613
        7.75      0.2098      0.4467      0.0662      0.0311       0.025       0.527       0.542      18.699       0.060       2.412      13.154        0.16      62981.    0.4372
        8.45      0.2288      0.4719      0.0630      0.0305       0.025       0.518       0.516      18.375       0.058       2.295      12.736        0.16      63044.    0.4129
        9.16      0.2479      0.4940      0.0597      0.0299       0.024       0.507       0.489      18.013       0.057       2.174      12.307        0.16      63109.    0.3884
        9.86      0.2670      0.5129      0.0563      0.0293       0.024       0.496       0.461      17.614       0.056       2.050      11.866        0.16      63176.    0.3636
       10.56      0.2860      0.5284      0.0527      0.0286       0.023       0.484       0.432      17.176       0.055       1.922      11.409        0.16      63247.    0.3385
       11.27      0.3051      0.5402      0.0491      0.0278       0.022       0.471       0.403      16.700       0.053       1.791      10.935        0.16      63320.    0.3132
