         20x15(WCAR-T6)           (20x15(WCAR-T6).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       25.80      0.3406      0.6018      0.0858      0.0486       0.801      12.616       7.002     597.072       1.425      31.147       5.319        0.32     154652.    0.4130
       28.15      0.3716      0.6344      0.0823      0.0482       0.794      12.513       6.711     592.171       1.414      29.852       5.141        0.32     154990.    0.3907
       30.50      0.4025      0.6644      0.0784      0.0475       0.783      12.338       6.398     583.872       1.394      28.457       4.970        0.32     155350.    0.3688
       32.84      0.4335      0.6920      0.0743      0.0466       0.767      12.092       6.064     572.251       1.366      26.971       4.806        0.32     155732.    0.3472
       35.19      0.4645      0.7170      0.0700      0.0454       0.747      11.778       5.712     557.397       1.331      25.407       4.648        0.32     156134.    0.3259
       37.53      0.4954      0.7395      0.0655      0.0439       0.723      11.398       5.345     539.396       1.288      23.775       4.495        0.32     156557.    0.3049
       39.88      0.5264      0.7595      0.0609      0.0422       0.695      10.953       4.965     518.325       1.237      22.083       4.344        0.32     157002.    0.2840
       42.22      0.5574      0.7767      0.0560      0.0402       0.663      10.444       4.572     494.251       1.180      20.338       4.196        0.32     157468.    0.2632
       44.57      0.5883      0.7910      0.0511      0.0380       0.627       9.873       4.170     467.229       1.115      18.549       4.048        0.32     157955.    0.2425
       46.92      0.6193      0.8019      0.0461      0.0356       0.586       9.241       3.759     437.312       1.044      16.721       3.899        0.32     158463.    0.2218
       49.26      0.6503      0.8089      0.0410      0.0329       0.543       8.549       3.341     404.558       0.966      14.861       3.746        0.32     158991.    0.2009
       51.61      0.6812      0.8111      0.0358      0.0300       0.495       7.798       2.917     369.041       0.881      12.975       3.585        0.32     159540.    0.1796
       53.95      0.7122      0.8070      0.0305      0.0269       0.444       6.991       2.489     330.862       0.790      11.070       3.412        0.33     160110.    0.1579
       56.30      0.7432      0.7942      0.0252      0.0236       0.389       6.131       2.059     290.165       0.693       9.157       3.218        0.33     160701.    0.1355
       58.65      0.7741      0.7684      0.0200      0.0201       0.331       5.222       1.628     247.132       0.590       7.243       2.989        0.33     161311.    0.1119
       60.99      0.8051      0.7206      0.0147      0.0164       0.271       4.268       1.200     201.965       0.482       5.338       2.695        0.33     161940.    0.0866
       63.34      0.8360      0.6303      0.0095      0.0126       0.208       3.272       0.775     154.829       0.370       3.447       2.270        0.33     162585.    0.0586
       65.68      0.8670      0.4353      0.0043      0.0086       0.142       2.233       0.352     105.686       0.252       1.567       1.512        0.33     163231.    0.0263
       68.03      0.8980



         PROP RPM =       5000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1049      0.0395       1.271      16.024      13.370     947.921       1.810      59.468       6.397        0.40     190344.    0.6863
        2.92      0.0308      0.0791      0.1043      0.0407       1.309      16.495      13.299     975.788       1.864      59.155       6.182        0.40     190498.    0.6614
        5.84      0.0616      0.1527      0.1037      0.0419       1.347      16.982      13.215    1004.575       1.919      58.781       5.967        0.40     190671.    0.6364
        8.76      0.0925      0.2209      0.1029      0.0431       1.386      17.475      13.114    1033.759       1.974      58.331       5.754        0.40     190864.    0.6113
       11.68      0.1233      0.2838      0.1019      0.0443       1.425      17.964      12.991    1062.660       2.030      57.784       5.545        0.40     191080.    0.5863
       14.59      0.1541      0.3417      0.1007      0.0454       1.462      18.433      12.841    1090.402       2.083      57.115       5.341        0.40     191319.    0.5615
       17.51      0.1849      0.3950      0.0993      0.0465       1.496      18.864      12.656    1115.894       2.131      56.296       5.144        0.40     191582.    0.5369
