         20x18(F1-GT)             (20x18(F1-GT).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       73.18      0.7728      0.8241      0.0339      0.0318       1.023      12.893       4.320     762.719       1.457      19.213       2.569        0.41     203700.    0.1566
       76.37      0.8064      0.8160      0.0281      0.0277       0.892      11.250       3.576     665.512       1.271      15.908       2.438        0.41     204566.    0.1352
       79.55      0.8400      0.7965      0.0222      0.0234       0.753       9.489       2.827     561.324       1.072      12.573       2.284        0.41     205461.    0.1127
       82.73      0.8736      0.7569      0.0163      0.0188       0.604       7.614       2.072     450.409       0.860       9.218       2.087        0.41     206382.    0.0881
       85.91      0.9072      0.6751      0.0103      0.0139       0.447       5.630       1.316     333.018       0.636       5.854       1.792        0.41     207326.    0.0603
       89.09      0.9408      0.4721      0.0044      0.0087       0.280       3.531       0.557     208.869       0.399       2.476       1.209        0.41     208266.    0.0265
       92.28      0.9744



         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1093      0.0435       2.422      25.445      20.071    1806.261       2.875      89.276       5.040        0.48     230762.    0.6625
        3.82      0.0336      0.0815      0.1089      0.0449       2.495      26.208      19.985    1860.413       2.961      88.895       4.872        0.48     230966.    0.6391
        7.63      0.0672      0.1574      0.1083      0.0462       2.571      27.010      19.884    1917.390       3.052      88.445       4.704        0.48     231199.    0.6154
       11.45      0.1008      0.2277      0.1077      0.0477       2.650      27.842      19.763    1976.400       3.146      87.904       4.535        0.48     231461.    0.5915
       15.27      0.1344      0.2924      0.1069      0.0491       2.731      28.687      19.615    2036.390       3.241      87.248       4.369        0.48     231754.    0.5677
       19.08      0.1679      0.3519      0.1059      0.0505       2.811      29.526      19.435    2095.966       3.336      86.445       4.206        0.48     232081.    0.5439
       22.90      0.2015      0.4063      0.1047      0.0519       2.888      30.334      19.212    2153.353       3.427      85.456       4.047        0.48     232443.    0.5204
       26.72      0.2351      0.4560      0.1032      0.0532       2.959      31.081      18.939    2206.376       3.512      84.240       3.893        0.48     232842.    0.4971
       30.54      0.2687      0.5015      0.1013      0.0543       3.021      31.732      18.604    2252.549       3.585      82.750       3.746        0.48     233279.    0.4740
       34.35      0.3023      0.5430      0.0991      0.0552       3.070      32.249      18.198    2289.266       3.643      80.944       3.606        0.48     233754.    0.4512
       38.17      0.3359      0.5810      0.0965      0.0558       3.103      32.600      17.715    2314.159       3.683      78.795       3.472        0.48     234268.    0.4287
       41.99      0.3695      0.6158      0.0934      0.0561       3.119      32.759      17.153    2325.475       3.701      76.297       3.346        0.48     234820.    0.4065
       45.80      0.4031      0.6478      0.0900      0.0560       3.114      32.713      16.516    2322.226       3.696      73.463       3.226        0.48     235413.    0.3846
       49.62      0.4367      0.6770      0.0861      0.0555       3.090      32.457      15.810    2304.022       3.667      70.323       3.112        0.48     236043.    0.3631
       53.44      0.4702      0.7038      0.0819      0.0547       3.045      31.990      15.042    2270.843       3.614      66.907       3.004        0.48     236713.    0.3419
       57.25      0.5038      0.7283      0.0775      0.0536       2.981      31.314      14.219    2222.860       3.538      63.248       2.901        0.48     237420.    0.3210
       61.07      0.5374      0.7504      0.0727      0.0521       2.897      30.433      13.349    2160.326       3.438      59.376       2.803        0.48     238166.    0.3004
       64.89      0.5710      0.7702      0.0678      0.0502       2.794      29.350      12.437    2083.500       3.316      55.319       2.707        0.48     238950.    0.2801
       68.71      0.6046      0.7876      0.0626      0.0480       2.672      28.070      11.488    1992.639       3.171      51.100       2.615        0.48     239771.    0.2600
       72.52      0.6382      0.8026      0.0572      0.0455       2.532      26.596      10.508    1887.973       3.005      46.740       2.524        0.49     240629.    0.2401
       76.34      0.6718      0.8149      0.0518      0.0427       2.373      24.930       9.500    1769.714       2.817      42.258       2.435        0.49     241524.    0.2202
       80.16      0.7054      0.8240      0.0461      0.0395       2.197      23.075       8.469    1638.051       2.607      37.670       2.345        0.49     242456.    0.2002
       83.97      0.7390      0.8294      0.0404      0.0360       2.002      21.035       7.417    1493.178       2.376      32.990       2.253        0.49     243424.    0.1800
       87.79      0.7726      0.8298      0.0346      0.0322       1.791      18.811       6.348    1335.314       2.125      28.234       2.156        0.49     244428.    0.1594
       91.61      0.8061      0.8233      0.0287      0.0281       1.562      16.408       5.264    1164.734       1.854      23.416       2.050        0.49     245468.    0.1380
       95.42      0.8397      0.8060      0.0227      0.0237       1.317      13.831       4.171     981.794       1.563      18.551       1.927        0.49     246541.    0.1154
       99.24      0.8733      0.7699      0.0167      0.0190       1.055      11.086       3.070     786.941       1.252      13.656       1.770        0.49     247647.    0.0910
      103.06      0.9069      0.6940      0.0107      0.0140       0.779       8.179       1.966     580.629       0.924       8.746       1.536        0.50     248779.    0.0632
      106.87      0.9405      0.5030      0.0047      0.0087       0.486       5.106       0.858     362.447       0.577       3.816       1.074        0.50     249909.    0.0292
      110.69      0.9741



         PROP RPM =       7000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1099      0.0438       3.866      34.811      27.448    2883.003       3.933     122.090       4.318        0.56     269204.    0.6638
        4.43      0.0334      0.0811      0.1094      0.0451       3.983      35.862      27.346    2969.998       4.052     121.633       4.176        0.56     269441.    0.6407
        8.86      0.0668      0.1566      0.1090      0.0465       4.106      36.971      27.224    3061.903       4.177     121.091       4.033        0.56     269710.    0.6173
       13.29      0.1002      0.2266      0.1084      0.0479       4.234      38.126      27.077    3157.542       4.307     120.437       3.889        0.56     270012.    0.5938
