         9x4M-LH                  (9x4M-LH.dat)
         v2022-0915
         Simulation Date: 11/15/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.99      0.5817      0.1162      0.0042      0.0210       0.001       0.201       0.028       0.476       0.023       0.125      26.858        7.95      29282.    0.0103
        1.02      0.6025     -0.0052     -0.0002      0.0189       0.001       0.180      -0.001       0.426       0.020      -0.005      -1.155        7.96      29340.    0.0000



         PROP RPM =        300

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0993      0.0412       0.004       0.886       1.497       3.145       0.100       6.661     215.965       11.73      42364.    0.6060
        0.05      0.0208      0.0490      0.0974      0.0414       0.004       0.890       1.469       3.158       0.101       6.533     210.928       11.73      42391.    0.5861
        0.11      0.0417      0.0957      0.0954      0.0415       0.004       0.893       1.438       3.168       0.101       6.397     205.874       11.73      42420.    0.5661
        0.16      0.0625      0.1401      0.0932      0.0416       0.004       0.895       1.406       3.175       0.101       6.253     200.814       11.73      42451.    0.5460
        0.21      0.0833      0.1821      0.0910      0.0417       0.004       0.895       1.372       3.178       0.101       6.101     195.751       11.73      42483.    0.5257
        0.27      0.1042      0.2217      0.0886      0.0416       0.004       0.895       1.336       3.177       0.101       5.941     190.686       11.74      42518.    0.5053
        0.32      0.1250      0.2590      0.0861      0.0416       0.004       0.893       1.298       3.171       0.101       5.772     185.618       11.74      42554.    0.4848
        0.37      0.1459      0.2939      0.0834      0.0414       0.004       0.890       1.258       3.159       0.101       5.593     180.546       11.74      42593.    0.4643
        0.42      0.1667      0.3264      0.0806      0.0412       0.004       0.885       1.215       3.142       0.100       5.406     175.466       11.75      42633.    0.4436
        0.48      0.1875      0.3565      0.0777      0.0409       0.004       0.878       1.171       3.118       0.099       5.209     170.372       11.75      42676.    0.4228
        0.53      0.2084      0.3843      0.0746      0.0405       0.004       0.870       1.125       3.088       0.098       5.005     165.258       11.75      42721.    0.4020
        0.58      0.2292      0.4095      0.0714      0.0400       0.004       0.860       1.077       3.052       0.097       4.792     160.114       11.76      42768.    0.3811
        0.64      0.2500      0.4323      0.0682      0.0394       0.004       0.848       1.028       3.009       0.096       4.571     154.926       11.77      42817.    0.3601
        0.69      0.2709      0.4524      0.0648      0.0388       0.004       0.834       0.976       2.959       0.094       4.343     149.678       11.77      42869.    0.3391
        0.74      0.2917      0.4699      0.0613      0.0380       0.004       0.818       0.924       2.902       0.092       4.109     144.349       11.78      42922.    0.3181
        0.80      0.3125      0.4845      0.0577      0.0372       0.004       0.800       0.869       2.839       0.090       3.867     138.916       11.79      42979.    0.2970
        0.85      0.3334      0.4961      0.0540      0.0363       0.004       0.780       0.814       2.768       0.088       3.620     133.349       11.79      43037.    0.2758
        0.90      0.3542      0.5044      0.0502      0.0352       0.004       0.758       0.757       2.690       0.086       3.366     127.613       11.80      43098.    0.2546
        0.95      0.3751      0.5092      0.0463      0.0341       0.003       0.734       0.698       2.604       0.083       3.107     121.662       11.81      43161.    0.2332
        1.01      0.3959      0.5100      0.0424      0.0329       0.003       0.707       0.639       2.511       0.080       2.842     115.442       11.82      43227.    0.2116
        1.06      0.4167      0.5063      0.0384      0.0316       0.003       0.679       0.578       2.409       0.077       2.573     108.881       11.83      43295.    0.1899
        1.11      0.4376      0.4975      0.0343      0.0301       0.003       0.648       0.517       2.300       0.073       2.298     101.890       11.84      43366.    0.1679
        1.17      0.4584      0.4826      0.0301      0.0286       0.003       0.615       0.454       2.183       0.069       2.020      94.350       11.85      43439.    0.1458
        1.22      0.4792      0.4605      0.0259      0.0270       0.003       0.580       0.391       2.058       0.066       1.738      86.105       11.86      43515.    0.1234
        1.27      0.5001      0.4294      0.0217      0.0252       0.003       0.542       0.327       1.925       0.061       1.452      76.945       11.88      43593.    0.1008
