         14x13M                   (14x13M.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
        0.00      0.0000      0.0000      0.1526      0.0766       0.073      15.345      13.715      54.464       1.734      61.002     114.213       18.33     108703.    0.6207  
        0.15      0.0383      0.0740      0.1516      0.0784       0.075      15.694      13.625      55.705       1.773      60.605     110.941       18.33     108838.    0.6010  
        0.30      0.0765      0.1436      0.1505      0.0802       0.076      16.061      13.526      57.008       1.815      60.163     107.615       18.33     108990.    0.5808  
        0.46      0.1148      0.2086      0.1493      0.0821       0.078      16.440      13.414      58.353       1.857      59.664     104.263       18.34     109162.    0.5604  
        0.61      0.1530      0.2693      0.1478      0.0840       0.080      16.825      13.286      59.717       1.901      59.096     100.912       18.35     109353.    0.5398  
        0.76      0.1913      0.3255      0.1462      0.0859       0.082      17.206      13.140      61.072       1.944      58.446      97.587       18.36     109566.    0.5191  
        0.91      0.2295      0.3775      0.1443      0.0878       0.084      17.577      12.972      62.386       1.986      57.698      94.310       18.37     109800.    0.4985  
        1.07      0.2678      0.4254      0.1422      0.0895       0.085      17.925      12.778      63.622       2.025      56.838      91.098       18.39     110057.    0.4779  
        1.22      0.3061      0.4694      0.1397      0.0911       0.087      18.240      12.556      64.741       2.061      55.848      87.965       18.41     110337.    0.4574  
        1.37      0.3443      0.5098      0.1369      0.0924       0.088      18.510      12.300      65.697       2.091      54.711      84.920       18.44     110641.    0.4371  
        1.52      0.3826      0.5468      0.1336      0.0935       0.089      18.720      12.007      66.443       2.115      53.409      81.969       18.46     110968.    0.4168  
        1.67      0.4208      0.5805      0.1299      0.0942       0.090      18.854      11.672      66.921       2.130      51.919      79.112       18.49     111319.    0.3966  
        1.83      0.4591      0.6112      0.1256      0.0944       0.090      18.895      11.289      67.064       2.135      50.214      76.350       18.52     111694.    0.3765  
        1.98      0.4973      0.6390      0.1208      0.0940       0.090      18.821      10.852      66.802       2.126      48.271      73.685       18.55     112092.    0.3562  
        2.13      0.5356      0.6642      0.1153      0.0930       0.089      18.617      10.361      66.077       2.103      46.084      71.119       18.59     112515.    0.3359  
        2.28      0.5738      0.6869      0.1092      0.0913       0.087      18.277       9.818      64.871       2.065      43.672      68.649       18.63     112960.    0.3157  
        2.43      0.6121      0.7072      0.1027      0.0889       0.085      17.805       9.233      63.198       2.012      41.068      66.265       18.67     113429.    0.2955  
        2.59      0.6504      0.7251      0.0958      0.0859       0.082      17.210       8.612      61.085       1.944      38.307      63.947       18.71     113920.    0.2754  
        2.74      0.6886      0.7405      0.0886      0.0824       0.079      16.498       7.963      58.559       1.864      35.418      61.674       18.76     114434.    0.2554  
        2.89      0.7269      0.7531      0.0811      0.0783       0.075      15.677       7.290      55.644       1.771      32.425      59.422       18.81     114969.    0.2354  
        3.04      0.7651      0.7626      0.0734      0.0737       0.070      14.751       6.598      52.358       1.667      29.348      57.159       18.86     115526.    0.2155  
        3.20      0.8034      0.7683      0.0655      0.0685       0.065      13.725       5.891      48.714       1.551      26.202      54.848       18.92     116105.    0.1954  
        3.35      0.8416      0.7695      0.0575      0.0629       0.060      12.601       5.171      44.725       1.424      22.999      52.436       18.97     116705.    0.1750  
        3.50      0.8799      0.7648      0.0494      0.0568       0.054      11.383       4.440      40.402       1.286      19.750      49.848       19.03     117326.    0.1541  
        3.65      0.9182      0.7519      0.0412      0.0503       0.048      10.075       3.703      35.759       1.138      16.469      46.964       19.09     117967.    0.1326  
        3.80      0.9564      0.7267      0.0329      0.0433       0.041       8.680       2.960      30.810       0.981      13.167      43.579       19.16     118629.    0.1100  
        3.96      0.9947      0.6817      0.0247      0.0360       0.034       7.206       2.216      25.576       0.814       9.858      39.305       19.22     119311.    0.0859  
        4.11      1.0329      0.5998      0.0164      0.0283       0.027       5.657       1.474      20.080       0.639       6.558      33.304       19.29     120013.    0.0593  
        4.26      1.0712      0.4356      0.0082      0.0202       0.019       4.044       0.738      14.352       0.457       3.283      23.324       19.36     120733.    0.0294  
        4.41      1.1094      0.0059      0.0001      0.0118       0.011       2.361       0.006       8.380       0.267       0.025       0.306       19.44     121458.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        400                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1527      0.0751       0.170      26.737      24.400     126.531       3.021     108.533      87.467       24.43     144937.    0.6340  
        0.20      0.0384      0.0757      0.1517      0.0769       0.174      27.364      24.242     129.499       3.092     107.830      84.909       24.44     145117.    0.6135  
        0.41      0.0767      0.1468      0.1506      0.0787       0.178      28.023      24.066     132.616       3.166     107.047      82.311       24.44     145322.    0.5926  
        0.61      0.1151      0.2132      0.1494      0.0806       0.182      28.703      23.868     135.836       3.243     106.164      79.697       24.45     145551.    0.5714  
        0.81      0.1534      0.2750      0.1480      0.0826       0.187      29.393      23.641     139.103       3.321     105.157      77.087       24.46     145808.    0.5500  
        1.02      0.1918      0.3322      0.1463      0.0845       0.191      30.080      23.382     142.351       3.398     104.002      74.500       24.48     146092.    0.5287  
        1.22      0.2302      0.3850      0.1445      0.0864       0.195      30.746      23.083     145.503       3.474     102.672      71.955       24.50     146406.    0.5073  
        1.42      0.2685      0.4336      0.1423      0.0881       0.199      31.373      22.738     148.471       3.544     101.140      69.464       24.52     146750.    0.4861  
        1.63      0.3069      0.4783      0.1398      0.0897       0.203      31.941      22.342     151.158       3.609      99.376      67.039       24.55     147125.    0.4650  
        1.83      0.3452      0.5192      0.1370      0.0911       0.206      32.427      21.886     153.460       3.664      97.349      64.687       24.58     147532.    0.4441  
        2.03      0.3836      0.5566      0.1337      0.0922       0.208      32.807      21.364     155.259       3.707      95.025      62.411       24.62     147970.    0.4233  
        2.24      0.4220      0.5907      0.1300      0.0928       0.210      33.052      20.765     156.418       3.734      92.363      60.213       24.65     148440.    0.4027  
        2.44      0.4603      0.6217      0.1257      0.0931       0.210      33.128      20.080     156.776       3.743      89.314      58.092       24.70     148942.    0.3820  
        2.64      0.4987      0.6498      0.1208      0.0927       0.209      32.998      19.298     156.162       3.728      85.839      56.052       24.74     149476.    0.3614  
        2.85      0.5370      0.6754      0.1153      0.0917       0.207      32.634      18.419     154.442       3.687      81.928      54.094       24.79     150041.    0.3407  
        3.05      0.5754      0.6985      0.1092      0.0900       0.203      32.028      17.449     151.574       3.619      77.615      52.216       24.84     150638.    0.3201  
        3.25      0.6138      0.7193      0.1027      0.0876       0.198      31.187      16.403     147.590       3.523      72.961      50.410       24.90     151266.    0.2996  
        3.46      0.6521      0.7378      0.0957      0.0846       0.191      30.123      15.294     142.555       3.403      68.029      48.662       24.96     151924.    0.2793  
        3.66      0.6905      0.7538      0.0885      0.0810       0.183      28.850      14.135     136.532       3.259      62.872      46.957       25.02     152612.    0.2591  
        3.87      0.7288      0.7672      0.0810      0.0769       0.174      27.380      12.935     129.575       3.093      57.533      45.277       25.08     153330.    0.2390  
        4.07      0.7672      0.7777      0.0732      0.0723       0.163      25.721      11.701     121.726       2.906      52.045      43.599       25.15     154076.    0.2189  
        4.27      0.8056      0.7847      0.0653      0.0671       0.152      23.881      10.440     113.017       2.698      46.436      41.898       25.23     154852.    0.1987  
        4.48      0.8439      0.7874      0.0573      0.0614       0.139      21.865       9.156     103.478       2.470      40.728      40.135       25.30     155655.    0.1782  
        4.68      0.8823      0.7847      0.0492      0.0553       0.125      19.680       7.856      93.136       2.223      34.942      38.257       25.38     156487.    0.1574  
        4.88      0.9207      0.7743      0.0409      0.0487       0.110      17.332       6.542      82.022       1.958      29.099      36.177       25.46     157346.    0.1358  
        5.09      0.9590      0.7524      0.0327      0.0417       0.094      14.828       5.221      70.174       1.675      23.223      33.746       25.55     158233.    0.1132  
        5.29      0.9974      0.7112      0.0244      0.0342       0.077      12.180       3.898      57.641       1.376      17.338      30.672       25.64     159147.    0.0889  
        5.49      1.0357      0.6332      0.0161      0.0264       0.060       9.399       2.579      44.483       1.062      11.472      26.298       25.73     160087.    0.0620  
        5.70      1.0741      0.4678      0.0080      0.0183       0.041       6.501       1.271      30.766       0.734       5.653      18.736       25.82     161052.    0.0310  
        5.90      1.1125     -0.0242     -0.0002      0.0097       0.022       3.469      -0.034      16.416       0.392      -0.150      -0.934       25.92     162013.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        500                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1528      0.0741       0.327      41.212      38.145     243.794       4.656     169.670      70.968       30.54     181171.    0.6432  
        0.25      0.0384      0.0768      0.1518      0.0759       0.335      42.197      37.900     249.619       4.767     168.578      68.866       30.55     181397.    0.6222  
        0.51      0.0768      0.1489      0.1507      0.0777       0.343      43.231      37.626     255.738       4.884     167.359      66.732       30.55     181652.    0.6007  
