         10x4M-LH                 (10x4M-LH.dat)
         v2022-0915
         Simulation Date: 12/14/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
        0.86      0.4541      0.3801      0.0214      0.0255       0.001       0.414       0.219       0.980       0.047       0.973     101.216        8.78      35729.    0.0976
        0.89      0.4739      0.3428      0.0174      0.0240       0.001       0.389       0.178       0.922       0.044       0.791      87.483        8.79      35787.    0.0761
        0.93      0.4936      0.2939      0.0133      0.0224       0.001       0.363       0.136       0.860       0.041       0.607      72.008        8.80      35846.    0.0549
        0.97      0.5134      0.2303      0.0093      0.0207       0.001       0.336       0.095       0.794       0.038       0.423      54.257        8.81      35908.    0.0345
        1.01      0.5331      0.1474      0.0052      0.0189       0.001       0.307       0.054       0.726       0.035       0.238      33.443        8.82      35971.    0.0160
        1.04      0.5529      0.0378      0.0012      0.0171       0.001       0.277       0.012       0.655       0.031       0.053       8.261        8.83      36035.    0.0019
        1.08      0.5726



         PROP RPM =        300

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0919      0.0360       0.006       1.312       2.116       4.657       0.148       9.412     206.092       13.04      52307.    0.6184
        0.05      0.0194      0.0483      0.0900      0.0361       0.006       1.316       2.073       4.671       0.149       9.220     201.304       13.04      52338.    0.5979
        0.11      0.0387      0.0943      0.0881      0.0361       0.006       1.319       2.027       4.680       0.149       9.018     196.501       13.04      52370.    0.5772
        0.16      0.0581      0.1381      0.0860      0.0362       0.006       1.320       1.980       4.684       0.149       8.806     191.693       13.04      52404.    0.5564
        0.22      0.0774      0.1795      0.0838      0.0362       0.006       1.319       1.929       4.683       0.149       8.582     186.880       13.04      52440.    0.5355
        0.27      0.0968      0.2185      0.0815      0.0361       0.006       1.317       1.876       4.675       0.149       8.347     182.062       13.04      52478.    0.5145
        0.33      0.1161      0.2553      0.0791      0.0360       0.006       1.313       1.821       4.660       0.148       8.100     177.240       13.05      52518.    0.4934
        0.38      0.1355      0.2897      0.0766      0.0358       0.006       1.307       1.763       4.638       0.148       7.841     172.408       13.05      52561.    0.4722
        0.44      0.1548      0.3218      0.0739      0.0356       0.006       1.298       1.702       4.607       0.147       7.571     167.563       13.05      52605.    0.4510
        0.49      0.1742      0.3515      0.0712      0.0353       0.006       1.287       1.639       4.569       0.145       7.290     162.702       13.06      52651.    0.4297
        0.55      0.1935      0.3789      0.0683      0.0349       0.006       1.274       1.573       4.522       0.144       6.998     157.815       13.06      52700.    0.4083
        0.60      0.2129      0.4038      0.0654      0.0345       0.006       1.258       1.505       4.466       0.142       6.696     152.893       13.07      52751.    0.3870
        0.66      0.2322      0.4261      0.0623      0.0340       0.006       1.240       1.435       4.401       0.140       6.384     147.923       13.07      52804.    0.3656
        0.71      0.2516      0.4459      0.0592      0.0334       0.006       1.219       1.363       4.327       0.138       6.063     142.890       13.08      52860.    0.3441
        0.77      0.2709      0.4631      0.0560      0.0328       0.006       1.195       1.289       4.243       0.135       5.732     137.775       13.09      52918.    0.3226
        0.82      0.2903      0.4773      0.0527      0.0320       0.006       1.169       1.213       4.149       0.132       5.393     132.555       13.09      52979.    0.3011
